iter	MAE
0	1.041076046
1	0.9720254261
2	0.9114560479
3	0.8580865914
4	0.8086088912
5	0.7732953519
6	0.7381460576
7	0.7068137282
8	0.6790602009
9	0.6562229733
10	0.6357795056
11	0.6172392269
12	0.6003075619
13	0.5859845436
14	0.5730323954
15	0.5612806595
16	0.5502504979
17	0.5400533495
18	0.5313242772
19	0.5239041212
20	0.5174631729
21	0.5129085274
22	0.5076031717
23	0.5035789471
24	0.5002163903
25	0.4978444283
26	0.4953858134
27	0.4934356585
28	0.4916586708
29	0.4885947915
30	0.4861408513
31	0.484670501
32	0.4836362986
33	0.4827864876
34	0.481595598
35	0.4808308485
36	0.4797326162
37	0.4791223421
38	0.4783813227
39	0.4768233899
40	0.4762783234
41	0.4750741978
42	0.474703791
43	0.4735866835
44	0.4731350262
45	0.4728703004
46	0.4719703378
47	0.471120121
48	0.4704678981
49	0.4703059531
50	0.4699236304
51	0.4697359936
52	0.4693687582
53	0.4688773355
54	0.4686630693
55	0.4681259461
56	0.4680338408
57	0.4679355281
58	0.4676940339
59	0.4673639206
60	0.4671603437
61	0.4670136223
62	0.4662808214
63	0.4661545478
64	0.4659719286
65	0.4657914582
66	0.4656372662
67	0.4655582327
68	0.465260094
69	0.4651772486
70	0.4651349044
71	0.4646916719
72	0.464641836
73	0.4643500539
74	0.4643193192
75	0.4640039643
76	0.4638878107
77	0.4637883412
78	0.4636796823
79	0.4636517315
80	0.4636268975
81	0.4634173871
82	0.4629539865
83	0.462662143
84	0.4623559769
85	0.4620475104
86	0.4618216652
87	0.4615565272
88	0.4614164523
89	0.4611752851
90	0.4607973924
91	0.4606164183
92	0.46048784
93	0.4602622048
94	0.4601966345
95	0.4601297522
96	0.4599567373
97	0.4596792715
98	0.4594879619
99	0.4594183803
100	0.4592291409
101	0.4590261396
102	0.4588895288
103	0.4586433678
104	0.4585971751
105	0.4585307145
106	0.4583815506
107	0.4582942876
108	0.4577278963
109	0.4574288155
110	0.4566548955
111	0.456510091
112	0.4563592377
113	0.4562640395
114	0.4557903463
115	0.4557181014
116	0.4555688922
117	0.4554190324
118	0.4549574003
119	0.454720166
120	0.4546583391
121	0.454423387
122	0.4543718675
123	0.4539799758
124	0.4535794028
125	0.4533714077
126	0.4529940422
127	0.4529516011
128	0.4528743561
129	0.4528298425
130	0.4527484049
131	0.4525200571
132	0.4520642769
133	0.4519114788
134	0.4516538902
135	0.4515191023
136	0.4514491826
137	0.451019458
138	0.4509012549
139	0.4505586696
140	0.4501629557
141	0.4497234395
142	0.4495506103
143	0.449422361
144	0.449403772
145	0.4489910473
146	0.448846118
147	0.4485393491
148	0.448451013
149	0.4484460307
150	0.4482045558
151	0.4481364035
152	0.4480432814
153	0.4479226378
154	0.4477835386
155	0.4476044927
156	0.4475903116
157	0.447575061
158	0.4474253093
159	0.4473426626
160	0.4473109599
161	0.4468687727
162	0.4467010262
163	0.4465756495
164	0.4465684186
165	0.4465270253
166	0.446350376
167	0.446315175
168	0.446276232
169	0.4461458359
170	0.4459961534
171	0.4458001219
172	0.4456719089
173	0.4455166271
174	0.445314963
175	0.4450899189
176	0.444884973
177	0.4447149272
178	0.4446852849
179	0.4443962002
180	0.4442477774
181	0.4442124902
182	0.4440955431
183	0.4440936689
184	0.4439908767
185	0.4438495109
186	0.4437599336
187	0.4437444627
188	0.4436583158
189	0.4436060659
190	0.443559209
191	0.443479812
192	0.4433508416
193	0.4432471988
194	0.4431046258
195	0.4430625833
196	0.4428141485
197	0.4428013851
198	0.4426881834
199	0.4426503922
200	0.4425787561
201	0.442477481
202	0.4424303442
203	0.442327569
204	0.4422025352
205	0.442197023
206	0.4421044905
207	0.4420688013
208	0.4419819484
209	0.4419325797
210	0.4418960084
211	0.4418339968
212	0.4417954593
213	0.4416891355
214	0.4416202778
215	0.4415878462
216	0.4415267059
217	0.4414797514
218	0.441175727
219	0.4410877718
220	0.4410381587
221	0.4409862719
222	0.4409095047
223	0.4408732083
224	0.4408682681
225	0.4408612292
226	0.4407930009
227	0.4407248544
228	0.440618423
229	0.4405839267
230	0.4405419732
231	0.4405254214
232	0.4404465947
233	0.4403705381
234	0.440335301
235	0.4403213026
236	0.4402405812
237	0.4401350111
238	0.4400554784
239	0.4400519001
240	0.4399725897
241	0.4398841682
242	0.439766587
243	0.4397057171
244	0.4396746555
245	0.4396092995
246	0.4395508333
247	0.4395448066
248	0.439534832
249	0.4395115582
250	0.4395080766
251	0.4394511945
252	0.4393746493
253	0.4393468331
254	0.4393327731
255	0.4392222996
256	0.4392069753
257	0.4391763046
258	0.4391326828
259	0.4391064663
260	0.4389865475
261	0.4389603118
262	0.4389452654
263	0.438878944
264	0.438834071
265	0.4387828446
266	0.4387540963
267	0.4386390342
268	0.4385832871
269	0.4385726272
270	0.4385675213
271	0.4385233238
272	0.438493419
273	0.438484751
274	0.4384407603
275	0.4384093816
276	0.4383760396
277	0.4383363938
278	0.438271741
279	0.4382357995
280	0.4382092723
281	0.4382046715
282	0.4381386297
283	0.4380895961
284	0.4380785601
285	0.4380562902
286	0.4380521519
287	0.437959625
288	0.4379372988
289	0.4379060124
290	0.4378659486
291	0.4378305791
292	0.437754073
293	0.437750313
294	0.4377266966
295	0.4376598006
296	0.4375331242
297	0.4375096137
298	0.4374204597
299	0.4373611039
